YEAR,MONTH,DAY,DAY_OF_WEEK,AIRLINE,FLIGHT_NUMBER,ORIGIN_AIRPORT,DESTINATION_AIRPORT,SCHEDULED_DEPARTURE,DEPARTURE_TIME,DEPARTURE_DELAY,SCHEDULED_TIME,ELAPSED_TIME,AIR_TIME,DISTANCE,ARRIVAL_TIME,ARRIVAL_DELAY,DIVERTED,CANCELLED,CANCELLATION_REASON,AIR_SYSTEM_DELAY,SECURITY_DELAY,AIRLINE_DELAY,LATE_AIRCRAFT_DELAY,WEATHER_DELAY
2015,1,1,4,B6,1030,BQN,MCO,307,304,-3,173,196,160,1129,520,20,0,0,null,20,0,0,0,0
2015,1,1,4,AA,2299,JFK,MIA,545,640,55,185,199,152,1089,959,69,0,0,null,14,0,55,0,0
2015,1,1,4,DL,1492,PHX,MSP,610,756,106,186,173,145,1276,1149,93,0,0,null,0,0,0,0,93
2015,1,1,4,EV,4506,MLU,IAH,612,641,29,73,72,58,262,753,28,0,0,null,28,0,0,0,0
2015,1,1,4,UA,1026,MCO,IAH,621,637,16,153,157,137,854,814,20,0,0,null,4,0,16,0,0
2015,1,1,4,F9,676,DEN,MCO,700,802,62,205,201,180,1546,1323,58,0,0,null,0,0,58,0,0
2015,1,1,4,UA,200,GUM,HNL,710,801,51,430,435,409,3801,1916,56,0,0,null,5,0,51,0,0
2015,1,1,4,UA,833,BOI,DEN,715,742,27,108,113,88,649,935,32,0,0,null,5,0,27,0,0
2015,1,1,4,AA,1053,DFW,PHL,720,759,39,185,163,144,1303,1142,17,0,0,null,0,0,17,0,0
2015,1,1,4,B6,470,FLL,BOS,730,743,13,179,188,166,1237,1051,22,0,0,null,9,0,8,5,0
2015,1,1,4,MQ,3098,SGF,ORD,730,814,44,110,101,64,438,955,35,0,0,null,0,0,35,0,0
2015,1,1,4,UA,1238,SLC,IAH,741,822,41,194,180,151,1195,1222,27,0,0,null,0,0,27,0,0
2015,1,1,4,OO,6240,MCI,SFO,800,758,-2,247,314,204,1499,1112,65,0,0,null,65,0,0,0,0
2015,1,1,4,UA,1596,SFO,DEN,802,805,3,153,168,126,967,1153,18,0,0,null,18,0,0,0,0
2015,1,1,4,OO,4476,SEA,PSP,805,843,38,160,149,124,987,1112,27,0,0,null,0,0,27,0,0
2015,1,1,4,EV,6171,HDN,DEN,808,933,85,68,67,29,141,1040,84,0,0,null,0,0,0,0,84
2015,1,1,4,WN,912,BWI,STL,810,822,12,140,156,137,738,958,28,0,0,null,16,0,12,0,0
2015,1,1,4,HA,111,ITO,OGG,810,858,48,38,42,27,121,940,52,0,0,null,0,0,4,48,0
2015,1,1,4,AA,395,ORD,SJU,830,1409,339,270,241,223,2072,2010,310,0,0,null,0,0,75,235,0
2015,1,1,4,UA,339,BOS,DEN,849,856,7,284,305,255,1754,1201,28,0,0,null,21,0,7,0,0
2015,1,1,4,OO,4510,MSP,ISN,910,908,-2,127,156,92,546,1144,27,0,0,null,27,0,0,0,0
2015,1,1,4,EV,3273,SDF,DEN,919,910,-9,188,212,182,1024,1042,15,0,0,null,15,0,0,0,0
2015,1,1,4,WN,999,LAS,ATL,925,927,2,225,238,199,1747,1625,15,0,0,null,15,0,0,0,0
2015,1,1,4,NK,345,MSP,PHX,926,931,5,201,228,182,1276,1219,32,0,0,null,32,0,0,0,0
2015,1,1,4,AA,2249,DFW,IAH,930,1027,57,65,85,42,224,1152,77,0,0,null,20,0,0,56,1
2015,1,1,4,OO,4649,SLC,BZN,940,1041,61,94,73,55,347,1154,40,0,0,null,0,0,40,0,0
2015,1,1,4,B6,1,JFK,FLL,950,1013,23,186,181,153,1069,1314,18,0,0,null,0,0,18,0,0
2015,1,1,4,EV,6066,DEN,ISN,955,1103,68,110,101,84,576,1344,59,0,0,null,0,0,47,12,0
2015,1,1,4,OO,5346,LAX,CLD,1000,1031,31,45,39,23,86,1110,25,0,0,null,0,0,0,25,0
2015,1,1,4,OO,6237,DEN,FSD,1004,1031,27,92,98,67,483,1309,33,0,0,null,6,0,7,20,0
2015,1,1,4,OO,5431,ORD,MKE,1017,1032,15,48,71,19,67,1143,38,0,0,null,23,0,15,0,0
2015,1,1,4,AA,1629,SAT,DFW,1045,1120,35,70,59,39,247,1219,24,0,0,null,0,0,0,23,1
2015,1,1,4,UA,760,SFO,JFK,1055,1104,9,330,345,317,2586,1949,24,0,0,null,24,0,0,0,0
2015,1,1,4,OO,4479,SLC,DEN,1055,1342,167,89,81,65,391,1503,159,0,0,null,0,0,159,0,0
2015,1,1,4,UA,1424,DEN,SAN,1117,1215,58,144,124,109,853,1319,38,0,0,null,0,0,28,10,0
